GRB,Observed,Afterglow,Trigger Time,BAT Fluence (15-150 keV) [10^-7 erg/cm^2],XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT Column Density (NH) [10^21 cm^-2],dt,acqmag,Redshift,Redshift_old,Ave_NH_PC,Ave_dNH_PC+,Ave_dNH_PC-,In pure sample,Comments,Observed,,,,,,,,
160624A,No,No,2016:06:24T11:27:01,0.4,0.00000000090746033,3.373361,,,0.483,N/A,0.25,0.25,0.19,Yes,Afterglow faded when visible. Redshift from Gemini,No,,,,,,,,
160801A,No,No,2016:08:01T09:28:30,1.7,0.0025262301,6.816261,,,NaN,N/A,0.67,0.45,0.32,Yes,Late visiblity and no afterglow seen with NOT,No,,,,,,,,
161001A,Yes,Yes,2016:10:01T01:05:16,6.7,0.072675,6.450095,6.1,,,N/A,0.63,0.11,0.1,Yes, Emission-line galaxy in X-shooter slit but association unclear.,Yes,,,,,,,,
161007A,Yes,No,2016:10:07T21:25:43,13,0.0313291188,5.64599,323,>24,NaN,N/A,0.40,0.17,0.15,Yes,"Host spectrum, inconclusive",Yes,,,,,,,,
161014A,Yes,Yes,2016:10:14T12:31:22,19,0.0059223144,15.3665,11.6,21.4,2.823,2.823,1.5,0.86,0.78,Yes,Redshift from GTC first,Yes,,,,,,,,
161104A,No,No,2016:11:04T09:42:26,0.31,0.0175230653,2.998879,,,NaN,N/A,0.29,0.76,0.29,Yes,"Short, no clear afterglow",No,,,,,,,,
161117A,Yes,Yes,2016:11:17T01:35:36,200,0.30637215,7.53995,0.73,19,1.549,1.549,0.75,0.18,0.17,Yes,RRM failed due to FLAMES being mounted,Yes,,,,,,,,
161117B,No,No,2016:11:17T09:49:43,60,0.5436648,5.288205,,,NaN,N/A,0.46,0.15,0.13,Yes," late acquisition camera images, and no counterpart was found",No,,,,,,,,
161202A,No,No,2016:12:02T23:12:52,86,0.085295756,13.401103,,,NaN,N/A,1.3,0.2,0.19,Yes,Nothing there in acquisition so sequence now aborted.,No,,,,,,,,
161214B,No,Yes,2016:12:14T17:20:10,21,0.106782925,1.14005,,,<1.5?,N/A,4.16E-02,0.0399,3.63E-02,,Recoating UT2 mirror. z from detection in UVOT w2 filter,No,,,,,,,,
161219B,Yes,Yes,2016:12:19T18:48:39,15,1.62645945,1.777458,35.7,,0.1475,0.1475,0.15,0.0198,1.93E-02,,Still bright after long follow-up delay,Yes,,,,,,,,
161220A,No,No,2016:12:20T08:33:30,1.7,0.0107990606,0.119000377,,,NaN,N/A,1.44E-05,0.0513,1.44E-05,Yes,No optical afterglow,No,,,,,,,,
